build,benchmark,run,wall_s,peak_rss_time_l,peak_rss_vm,gc_minor,gc_major,gc_promoted_bytes,pause_p50_us,pause_p95_us,pause_max_us,exit
master,bench_gc_churn,11,0.170721,139657216,139657216,3,0,288,4886,4886,5900,0
v2026.9.4,bench_gc_churn,11,0.174206,139345920,,,,,,,,0
master,bench_gc_churn,12,0.171501,139673600,139673600,3,0,288,4985,4985,5888,0
v2026.9.4,bench_gc_churn,12,0.174598,139313152,,,,,,,,0
master,bench_gc_churn,13,0.169920,139673600,139673600,3,0,288,4986,4986,5308,0
v2026.9.4,bench_gc_churn,13,0.172204,139395072,,,,,,,,0
master,bench_gc_churn,14,0.167813,139673600,139673600,3,0,288,4996,4996,5305,0
v2026.9.4,bench_gc_churn,14,0.173420,139280384,,,,,,,,0
master,bench_gc_churn,15,0.170426,139657216,139657216,3,0,288,4977,4977,5475,0
v2026.9.4,bench_gc_churn,15,0.173780,139296768,,,,,,,,0
master,bench_gc_large_heap,1,0.026183,40452096,40402944,0,0,0,0,0,0,0
v2026.9.4,bench_gc_large_heap,1,0.026758,55164928,,,,,,,,0
master,bench_gc_large_heap,2,0.026123,40419328,40370176,0,0,0,0,0,0,0
v2026.9.4,bench_gc_large_heap,2,0.026735,55066624,,,,,,,,0
master,bench_gc_large_heap,3,0.026298,40452096,40402944,0,0,0,0,0,0,0
v2026.9.4,bench_gc_large_heap,3,0.027499,55083008,,,,,,,,0
master,bench_gc_large_heap,4,0.026297,40468480,40419328,0,0,0,0,0,0,0
v2026.9.4,bench_gc_large_heap,4,0.027456,55099392,,,,,,,,0
master,bench_gc_large_heap,5,0.026143,40501248,40452096,0,0,0,0,0,0,0
v2026.9.4,bench_gc_large_heap,5,0.026671,55148544,,,,,,,,0
master,bench_gc_large_heap,6,0.025773,40386560,40337408,0,0,0,0,0,0,0
v2026.9.4,bench_gc_large_heap,6,0.026751,55164928,,,,,,,,0
master,bench_gc_large_heap,7,0.025820,40452096,40402944,0,0,0,0,0,0,0
v2026.9.4,bench_gc_large_heap,7,0.026585,55099392,,,,,,,,0
master,bench_gc_large_heap,8,0.026014,40484864,40435712,0,0,0,0,0,0,0
v2026.9.4,bench_gc_large_heap,8,0.027567,55132160,,,,,,,,0
master,bench_gc_large_heap,9,0.026392,40452096,40402944,0,0,0,0,0,0,0
v2026.9.4,bench_gc_large_heap,9,0.027355,55083008,,,,,,,,0
master,bench_gc_large_heap,10,0.026466,40501248,40452096,0,0,0,0,0,0,0
v2026.9.4,bench_gc_large_heap,10,0.026692,55197696,,,,,,,,0
master,bench_gc_large_heap,11,0.026271,40435712,40386560,0,0,0,0,0,0,0
v2026.9.4,bench_gc_large_heap,11,0.027095,55164928,,,,,,,,0
master,bench_gc_large_heap,12,0.025624,40501248,40452096,0,0,0,0,0,0,0
v2026.9.4,bench_gc_large_heap,12,0.026665,55148544,,,,,,,,0
master,bench_gc_large_heap,13,0.026338,40501248,40452096,0,0,0,0,0,0,0
v2026.9.4,bench_gc_large_heap,13,0.027287,55148544,,,,,,,,0
master,bench_gc_large_heap,14,0.026134,40468480,40419328,0,0,0,0,0,0,0
v2026.9.4,bench_gc_large_heap,14,0.026707,55164928,,,,,,,,0
master,bench_gc_large_heap,15,0.025821,40435712,40386560,0,0,0,0,0,0,0
v2026.9.4,bench_gc_large_heap,15,0.027312,55164928,,,,,,,,0
master,bench_array_intensive,1,0.084501,5455872,5406720,0,0,0,0,0,0,0
v2026.9.4,bench_array_intensive,1,0.082019,5128192,,,,,,,,0
master,bench_array_intensive,2,0.084353,5472256,5423104,0,0,0,0,0,0,0
v2026.9.4,bench_array_intensive,2,0.082265,5128192,,,,,,,,0
master,bench_array_intensive,3,0.084816,5439488,5390336,0,0,0,0,0,0,0
v2026.9.4,bench_array_intensive,3,0.082206,5160960,,,,,,,,0
master,bench_array_intensive,4,0.084373,5455872,5406720,0,0,0,0,0,0,0
v2026.9.4,bench_array_intensive,4,0.081876,5177344,,,,,,,,0
